"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"NXXONNNON","5","0","0","0","5","5","5","0","5"
"NNNOONXNX","5","5","5","0","0","5","0","5","0"
"NXNONNXON","5","0","5","0","5","5","0","0","5"
"NNNOXONXN","0","5","5","0","0","0","0","0","5"
"NNNNXNOOX","5","5","5","5","0","5","0","0","0"
"NNNONXXNO","5","5","5","0","5","0","0","5","0"
"NNOXNNNOX","5","5","0","0","5","5","5","0","0"
"NXNNXONON","5","0","5","5","0","0","5","0","5"
"NNXONXNNO","5","5","0","0","5","0","5","5","0"
"NNONXXNON","5","5","0","5","0","0","5","0","5"
"XXNNONONN","0","0","5","5","0","5","0","5","5"
"NNONXNONX","5","0","0","5","0","0","0","5","0"
"OXNNONNXN","0","0","5","5","0","5","5","0","5"
"ONXXONONX","0","6","0","0","0","6","0","0","0"
"XOXOXONNN","0","0","0","0","0","0","0","6","6"
"OONOXXNXN","0","0","0","0","0","0","6","0","6"
"XNOONNXOX","0","6","0","0","6","0","0","0","0"
"NONONXXOX","6","0","6","0","6","0","0","0","0"
"XNNOXOXNO","0","6","6","0","0","0","0","6","0"
"OONXNOXNX","0","0","6","0","6","0","0","6","0"
"NNOXNOOXX","6","6","0","0","6","0","0","0","0"
"OXNNXXONO","0","0","6","6","0","0","0","0","0"
"NOOXNXNXO","6","0","0","0","6","0","6","0","0"
"OXNXOXNON","0","0","6","0","0","0","6","0","6"
"NNOXNOXOX","6","6","0","0","6","0","0","0","0"
"NXOOXXNON","6","0","0","0","0","0","6","0","0"
"XOXONNNOX","0","0","0","0","6","6","6","0","0"
"OOXNXONNX","0","0","0","6","0","0","6","6","0"
"NXOONXOXN","6","0","0","0","6","0","0","0","6"
"OXNXNOXON","0","0","6","0","6","0","0","0","6"
"XONXXNOON","0","0","6","0","0","6","0","0","6"
"NOXOOXNXN","6","0","0","0","0","0","6","0","6"
"XNOXNNOXO","0","6","0","0","6","6","0","0","0"
"NNNXXOOOX","6","6","6","0","0","0","0","0","0"
"XXNONXOON","0","0","6","0","6","0","0","0","6"
"NNXXOXNOO","6","6","0","0","0","0","6","0","0"
"NOOXNXONX","6","0","0","0","6","0","0","6","0"
"NNXXONOOX","6","6","0","0","0","6","0","0","0"
"NXOOOXXNN","6","0","0","0","0","0","0","6","6"
"XONOXOXNN","0","0","6","0","0","0","0","6","6"
"OXOXONNNX","0","0","0","0","0","6","6","6","0"
"OOXXOXNNN","0","0","0","0","0","0","6","6","6"
"NXXOONNOX","6","0","0","0","0","6","6","0","0"
"XXNNXOOON","0","0","6","6","0","0","0","0","6"
"OONXXNNOX","0","0","6","0","0","6","6","0","0"
"NONXONXXO","6","0","6","0","0","6","0","0","0"
"XXNNNOXOO","0","0","6","6","6","0","0","0","0"
"NNXNOOOXX","6","6","0","6","0","0","0","0","0"
"NNOXXOOXN","6","6","0","0","0","0","0","0","6"
"OXXNNOONX","0","0","0","6","6","0","0","6","0"
"XOOXONNNX","0","0","0","0","0","6","6","6","0"
"XNXXONOON","0","6","0","0","0","6","0","0","6"
"NOOXXONNX","6","0","0","0","0","0","6","6","0"
"OOXXNXNON","0","0","0","0","6","0","6","0","6"
"XONOONXNX","0","0","6","0","0","6","0","6","0"
"XNOXNONOX","0","6","0","0","6","0","6","0","0"
"OXONNXXNO","0","0","0","6","6","0","0","0","0"
"OOXNNXXNO","0","0","0","6","6","0","0","6","0"
"XNXXONONO","0","6","0","0","0","6","0","6","0"
"XNNOXXNOO","0","6","6","0","0","0","6","0","0"
"XONXNONXO","0","0","6","0","6","0","6","0","0"
"NXOXNNXOO","6","0","0","0","6","6","0","0","0"
"NXXNXOONO","6","0","0","6","0","0","0","6","0"
"XXNOXONNO","0","0","6","0","0","0","6","6","0"
"OONXOXNNX","0","0","6","0","0","0","6","6","0"
"NNOXOONXX","6","6","0","0","0","0","6","0","0"
"XNNONOOXX","0","6","6","0","6","0","0","0","0"
"NNXOOXXNO","6","6","0","0","0","0","0","6","0"
"NNOXONXOX","6","6","0","0","0","6","0","0","0"
"OXXNXONON","0","0","0","6","0","0","6","0","6"
"XNNONXXOO","0","6","6","0","6","0","0","0","0"
"XOONNNOXX","0","0","0","6","6","6","0","0","0"
"NXXNOOXON","6","0","0","6","0","0","0","0","6"
"XNOOXXNON","0","6","0","0","0","0","6","0","6"
"XXOONOXNN","0","0","0","0","6","0","0","6","6"
"OXXONXNON","0","0","0","0","6","0","6","0","6"
"XOXONNNXO","0","0","0","0","6","6","6","0","0"
"NNXONXOXO","6","6","0","0","6","0","0","0","0"
"NNXXXOONO","6","6","0","0","0","0","0","6","0"
"XNXOXONNO","0","6","0","0","0","0","6","6","0"
"XXNOONNXO","0","0","6","0","0","6","6","0","0"
"XOXNNNOXO","0","0","0","0","6","6","0","0","0"
"XONNXOXON","0","0","0","6","0","0","0","0","6"
"XXONOXNNO","0","0","0","6","0","0","6","6","0"
"NXNONOXOX","6","0","0","0","6","0","0","0","0"
"OONXNXNOX","0","0","6","0","6","0","6","0","0"
"XONXNXONO","0","0","6","0","6","0","0","6","0"
"NNNXXOOXO","6","6","6","0","0","0","0","0","0"
"ONOONXNXX","0","6","0","0","6","0","6","0","0"
"XNOOXONXN","0","6","0","0","0","0","6","0","6"
"XNNONXOXO","0","6","6","0","6","0","0","0","0"
"XXOONNNOX","0","0","0","0","6","6","6","0","0"
"NOXNOXNXO","6","0","0","6","0","0","6","0","0"
"XNONOXNOX","0","6","0","6","0","0","6","0","0"
"XNOOXNXNO","0","6","0","0","0","6","0","0","0"
"ONXNXNOOX","0","6","0","6","0","6","0","0","0"
"XNXNNOXOO","0","6","0","0","6","0","0","0","0"
"ONXXONNOX","0","6","0","0","0","6","6","0","0"
"ONNXNXOXO","0","6","6","0","6","0","0","0","0"
"OONXXNNXO","0","0","6","0","0","6","6","0","0"
"NONXXONOX","6","0","6","0","0","0","6","0","0"
"OXONXNXON","0","0","0","6","0","6","0","0","6"
"NNOONXXOX","6","6","0","0","6","0","0","0","0"
"NXNXOONOX","6","0","0","0","0","0","6","0","0"
"NXOXONXON","6","0","0","0","0","6","0","0","6"
"NNXNOOXOX","6","0","0","6","0","0","0","0","0"
"NXONOXNXO","0","0","0","6","0","0","6","0","0"
"NXOONOXNX","6","0","0","0","6","0","0","6","0"
"NXOOXNXNO","6","0","0","0","0","6","0","6","0"
"NXNOXNXOO","6","0","6","0","0","6","0","0","0"
"ONONXXNXO","0","6","0","6","0","0","6","0","0"
"XOXNOONXN","0","0","0","6","0","0","6","0","6"
"XONNXOXNO","0","0","6","6","0","0","0","6","0"
"XONOOXNNX","0","0","6","0","0","0","6","6","0"
"XXNXNONOO","0","0","0","0","6","0","6","0","0"
"XNXONXONO","0","6","0","0","6","0","0","6","0"
"XNOXNNOOX","0","6","0","0","6","6","0","0","0"
"XOXNONXNO","0","0","0","6","0","6","0","6","0"
"NNOOXNOXX","6","6","0","0","0","6","0","0","0"
"NNOOXXNXO","6","6","0","0","0","0","6","0","0"
